Pedestrain,Time,xpos,ypos
2,13:35,20,4
2,13:40,19,4
2,13:45,18,3
2,13:50,17,2
2,13:55,16,2
2,14:0,15,2
2,14:5,14,2
2,14:10,13,2
2,14:15,12,2
2,14:20,11,3
2,14:25,10,4
2,14:30,9,5
2,14:35,8,6
2,14:40,7,6
2,14:45,6,6
2,14:50,5,6
2,14:55,4,7
2,15:0,4,8
2,15:5,5,9
2,15:10,5,10
2,15:10,5,10
1,22:25,22,7
1,22:30,23,5
1,22:35,23,4
1,22:40,23,3
1,22:45,23,2
1,22:50,23,1
1,22:55,24,0
1,23:0,25,1
1,23:5,26,1
1,23:10,27,1
1,23:15,28,1
1,23:20,29,1
1,23:25,30,1
1,23:30,31,2
1,23:35,32,3
1,23:40,33,4
1,23:45,34,5
1,23:50,35,6
1,23:50,35,6
1,23:50,22,7
1,23:55,24,9
1,24:0,25,10
1,24:5,26,11
1,24:10,27,12
1,24:15,28,13
1,24:20,29,14
1,24:25,30,15
1,24:30,31,16
1,24:35,32,17
1,24:40,33,18
1,24:45,34,19
1,24:50,35,19
1,24:55,36,19
1,25:0,37,19
1,25:5,38,18
1,25:10,37,17
1,25:15,37,16
1,25:20,37,15
1,25:25,37,14
1,25:30,36,13
1,25:35,36,12
1,25:40,35,11
1,25:45,35,10
1,25:50,35,9
1,25:55,35,8
1,26:0,35,7
1,26:5,35,6
1,26:5,35,6
1,26:5,22,7
1,26:10,23,9
1,26:15,24,10
1,26:20,25,9
1,26:25,26,10
1,26:30,27,11
1,26:35,26,12
1,26:40,27,13
1,26:45,28,14
1,26:50,29,15
1,26:55,30,16
1,27:0,31,17
1,27:5,32,18
1,27:10,33,19
1,27:15,34,20
1,27:20,35,20
1,27:25,36,20
1,27:30,37,20
1,27:35,38,19
1,27:40,39,18
1,27:45,38,17
1,27:50,38,16
1,27:55,38,15
1,28:0,38,14
1,28:5,37,13
1,28:10,37,12
1,28:15,36,11
1,28:20,36,10
1,28:25,36,9
1,28:30,36,8
1,28:35,36,7
1,28:40,35,6
1,28:40,35,6
1,15:40,12,6
1,15:45,11,8
1,15:50,11,9
1,15:55,10,10
1,16:0,10,11
1,16:5,9,12
1,16:10,9,13
1,16:15,8,14
1,16:20,7,14
1,16:25,6,14
1,16:30,5,14
1,16:35,4,15
1,16:40,4,16
